controlCategory,controlType,controlPeriodocity,control,controlID
NA,Semi-automatic,0.1,Verify the presence of the contractual documentation.,5165
NA,Manual,0.1,Verify correct income generation of the contract and payment of the supplier,5665
NA,Manual,0.1,Verify consistency between Information Sheets and Summary Document,3663
NA,Semi-automatic,30.0,Monitor the maturity of acquired guarantees for advance payments,5184
NA,Manual,0.1,Verify correct income generation of the contract,1190
NA,Automatic,0.1,Check for the presence of the Syndicated Contract Identifier,2184
NA,Manual,0.1,Check the start date of the contract term,2342
NA,Manual,0.1,Check the consistency between the Information Sheets and the Summary Document,2727
NA,Manual,0.1,Check the completeness of the contractual documentation,5243
NA,Manual,0.1,Check the consistency of the goods descriptions in the contract and in the invoice,3574
NA,Manual,0.1,Check the compliance of the technical documentation,4516
NA,Manual,0.1,Verify the completeness of the income tax documentation,4515
NA,Manual,0.1,Verify correctness and consistency of the automatic verification of the TEG,4915
NA,Semi-automatic,0.1,Carry out pre-stipulation appraisal on other types of assets,4076
NA,Manual,0.1,Check the data entered in the system,2358
NA,Manual,0.1,Verify consistency between Information Sheets and Summary Document,4842
NA,Manual,0.1,Check the completeness of the contractual documentation,3621
NA,Manual,0.1,Check the VAT rate applied to the leasing transaction,2341
NA,Semi-automatic,0.1,Verify the evasion of the requests formulated during the resolution,4542
NA,Manual,0.1,Check the contractual documentation produced manually,3620
NA,Manual,0.1,Verify notarial deed of sale and preliminary report,5509
NA,Manual,0.1,Verify the correct composition of the contractual file,4985
NA,NA,,Verify that communication has been sent pursuant to Art. 48 Law 196/2009,5695
NA,NA,,Check the regularity of the communication pursuant to Art. 48 Law 196/2009,3993
NA,Semi-automatic,92.0,Monitor contracts stipulated with an expired supplier order,4543
NA,Semi-automatic,0.1,Check the compensation agreement between the customer and the supplier,2531
NA,Manual,0.1,Check the stipulation documentation,1450
NA,Manual,30.0,Monitor the progress of the works,5156
NA,Manual,0.1,Check the validity of the CAR policy,877
NA,Manual,0.1,Check the presence of the contractual pre-lease charges,1422
NA,Semi-automatic,92.0,Verify the correctness and completeness of the extemporaneous manual journal entries,5094
NA,Semi-automatic,92.0,Check the squareness of the individual parts of the E.C. and S.P.,643
NA,Manual,92.0,Carry out trend analysis of the consolidated financial statements,644
NA,Manual,92.0,Verify the correctness and completeness of the data of the companies consolidated at equity,2937
NA,Semi-automatic,92.0,Verify the correctness and completeness of recurring manual journal entries,4368
NA,Semi-automatic,92.0,Verify the correct and complete promotion of data in the consolidation environment,3409
NA,Semi-automatic,92.0,Verify the consistency of the main income statement and balance sheet items,3916
NA,Manual,30.0,Check that all currencies are updated,496
NA,Manual,30.0,Check the update of the discount rates,2320
NA,Manual,30.0,Check stream loading,5323
NA,Semi-automatic,30.0,Verify reconciliation and fix any anomalies,1093
NA,Manual,30.0,Verify results and fix any anomalies,1092
NA,Semi-automatic,92.0,Carry out performance checks,943
NA,Manual,30.0,Verify receipt of monthly SAP/GPA flow and manual uploads,3542
NA,Manual,30.0,Check MCT power supply and carry out any manual interventions,3543
NA,Manual,0.1,Verification of names for Embargo purposes,4258
NA,Manual,0.1,Check the TEG of the operation,782
NA,Manual,0.1,Tick the operation,4905
NA,Manual,0.1,Verify the data for the identification of the Assigned Debtor and any Endorsing/Guarantor,1447
NA,Manual,0.1,Carry out checks on the subject of Anti-Money Laundering Embargoes and Countering Terrorism Financing,4040
NA,Manual,0.1,"Carry out the fulfilments foreseen in terms of Embargoes, Anti-Money Laundering and Countering the Financing of Terrorism",4041
NA,Manual,0.1,Control of names for Embargo purposes,4039
NA,Manual,0.1,Check the calculation of the TEG,67
NA,Manual,0.1,Carry out checks on the subject of Anti-Money Laundering Embargoes and Countering Terrorism Financing,3966
NA,Manual,0.1,"Carry out the fulfilments foreseen in terms of Embargoes, Anti-Money Laundering and Countering the Financing of Terrorism",3967
NA,Manual,0.1,Calculate the TEG,1928
NA,Manual,30.0,Verify non-performing loans no longer subject to analytical-statistical evaluation,1886
NA,Manual,30.0,Check the scope of assessment,3724
NA,Manual,30.0,Certify funds for capital valuation and discounting of positions in analytical-statistical valuation,512
NA,Manual,0.1,"In the event of modification/adaptation of the evaluation grids, verify the correct implementation in the systems and relative certification",693
NA,Semi-automatic,1.0,Relate the systems,3285
NA,Semi-automatic,1.0,Check for anomalies and confirm operations,3624
NA,Semi-automatic,1.0,Check zeroing of interprocedural accounts,1899
NA,NA,,Check data entry,1930
NA,Manual,30.0,Check matching values,4783
NA,NA,,Check data entry in procedure,3313
NA,NA,,Check miscellaneous matches and/or their arrangement,4454
NA,NA,,Check passive billing,1805
NA,NA,,Check data entry in procedure,3312
NA,NA,,Check data entry in procedure,3314
NA,Manual,30.0,Check data,4784
NA,Manual,30.0,Check for temporarily excluded positions,4095
Operational,NA,,Verify need for modification of the key management team,3769
NA,Manual,1.0,Monitor unmatched deals and manage reminder events,4047
NA,Manual,0.1,Analyze the data entered in the termsheet,2935
NA,Manual,0.1,Verify the consistency of the data,2936
NA,Manual,0.1,Check the amounts of the transfers received,5321
NA,Manual,0.1,Verify the correctness of the letters sent to the Ministries,5322
NA,Manual,0.1,Check the correct entry of data in the procedure,1965
NA,Manual,0.1,Check the correct entry of data in the procedure,1401
NA,Manual,0.1,Check the calculation of the TEG,1851
NA,Manual,7.0,Verify compliance with the deadlines for replying to the proposed resolution,2644
NA,Manual,1.0,Verify compliance with the deadlines for feedback on the draft contracts,2645
NA,Manual,0.1,Check the NDG entered in the system,3748
NA,NA,,Verify correct completion of the Supplier report,3367
NA,Semi-automatic,0.1,Check that the operation has been entered correctly,4801
NA,Manual,0.1,Verify that exchange negotiation is set up correctly,2621
NA,NA,,Carry out checks on the transactions subject to reporting,2271
NA,NA,,Monitor the operations carried out by the supervisee in financial instruments or investment services,4810
NA,NA,,Verify that the operation cannot actually be configured as a purchase or sale of securities listed on the market,2270
NA,Manual,0.1,Check the correctness of the accounting,4992
NA,Manual,0.1,Verify correct accounting,3937
NA,Manual,0.1,Verify the correctness of the payment,1352
NA,Manual,0.1,Verify correct currency adjustment,4404
NA,Manual,0.1,Verify the correctness of the calculation of the penalties,2031
NA,Manual,0.1,Verify the correct decomposition,1652
NA,Manual,0.1,Check correct compilation of the letters,5078
Professional,Manual,30.0,Check compliance with the delegated powers,791
NA,NA,,Verify compliance with the procedure,408
NA,Semi-automatic,1.0,Perform technical checks on Lookout,1970
NA,Semi-automatic,1.0,Monitor the outcome of reports and related substantive checks,1971
NA,Semi-automatic,1.0,Carry out legacy merit checks,1485
NA,Semi-automatic,1.0,Perform Legacy Engineering Checks,1484
NA,Semi-automatic,1.0,Check the sending of daily streams,4740
NA,NA,,Carry out checks on the positions subject to sampling,4901
NA,Semi-automatic,0.1,Carry out the verification and certification activities of the Returns and Balances flow,4900
NA,Semi-automatic,0.1,Verify the absence of anomalies in the flows subject to certification in relation to the Wealth Management Funds and Insurance Investment Products components,5693
NA,Semi-automatic,0.1,Verify the absence of anomalies present in the flows subject to certification,3187
NA,NA,,Carry out checks on the positions subject to sampling,5647
NA,Semi-automatic,0.1,Carry out the verification and certification activities of the Returns and Balances flow,4778
NA,NA,,Check the evidence in the report produced by the reporting procedure,4814
NA,Manual,0.1,Verify the correctness of the expenses for calculating the TEG,5384
Operational,Semi-automatic,0.1,Check the documentation received,4110
NA,Semi-automatic,0.1,Carry out pre-accounting correctness checks,3025
NA,Manual,30.0,Check capacity test results on other Macro FVH covers,3959
NA,Manual,30.0,Analyze calculation procedure diagnostics,3970
NA,Manual,30.0,Verify the correctness of data on derivatives,3971
NA,Manual,30.0,Verify the valuation of non-standard coverages,4137
NA,Manual,0.1,Check title census on simulation folder,3410
NA,Manual,30.0,Verify coverage data capture,4136
NA,Manual,92.0,Check the capacity test results of Macro CFH covers on uses,5238
NA,Manual,30.0,Check the results of the effectiveness test,3972
NA,Manual,30.0,Check correct reference application power supply,2582
NA,Manual,92.0,Check the results of the Macro CFH coverage capacity test on the collection,5237
NA,Manual,0.1,Check the correctness/completeness of the list,1964
NA,Manual,0.1,Check for inconsistencies,2888
NA,Manual,0.1,Check the consistency of the amounts,885
NA,Manual,0.1,Check amount quantification,1136
NA,Manual,0.1,Check that the cards are updated correctly,762
Operational,Manual,0.1,Verify the correct insertion of the dea,5067
Operational,Manual,0.1,Verify the correct execution of the deal on the platform,3315
Professional,Manual,30.0,Verify correctness and completeness of the Note,5356
Operational,Manual,30.0,Verify congruity between the documentation received and what is present in the price lists included in the monthly TIT Note authorized by the CFO,1684
NA,Semi-automatic,30.0,Verify loading TIT behavioral and TIT components,4960
NA,Semi-automatic,1.0,Verify daily supply of TIT Euro and Currency,3077
NA,Manual,0.1,Check the documentation relating to the suspension of the direct guarantee activation procedure,752
NA,Manual,0.1,Check the upload in the procedure pertaining to the outcome of the enforcement,1983
NA,Manual,0.1,Check the documentation received,3351
NA,Manual,0.1,Check documentation,606
NA,Manual,0.1,Check documentation,605
NA,Manual,0.1,Verify the completeness and correctness of the documentation received,3857
NA,Semi-automatic,0.1,Check for technical anomalies that have not yet been resolved,241
NA,Manual,365.0,Check the completeness of the information received,3022
NA,Manual,30.0,Verify the correct countervaluation of the balance sheet flow,3874
NA,Semi-automatic,0.1,Examine residual anomalies,5466
NA,Semi-automatic,30.0,Verify the correct conclusion of the elaboration,5434
NA,Semi-automatic,30.0,Check the correct loading of the exchange table,5435
NA,Semi-automatic,30.0,Check that the detected anomalies have been corrected,790
NA,Semi-automatic,30.0,Reconcile the data,1135
NA,Semi-automatic,30.0,Verify the correct conclusion of the elaboration,99
NA,Semi-automatic,30.0,Check the correct transposition of the uploaded data,124
NA,Semi-automatic,30.0,Check the consistency of the received data,5158
